test,Acceptable if,equation,parameter,coefficient,classical_std_error,classical_p_value,hc3_std_error,hc3_p_value,hac_newey_west_std_error,hac_newey_west_p_value,classical_significant_at_5pct,hc3_significant_at_5pct,hac_significant_at_5pct,significance_changed_hc3,significance_changed_hac
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",UNRATE,L3.M2_GROWTH,-0.10941791319032201,0.08268237495246905,0.18657713917996713,0.11576343057331791,0.34521252985283607,0.07072247093842542,0.1227268615863583,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",UNRATE,L4.INF,-0.09497143060880531,0.11618945330559341,0.414261765540089,0.1131358853199804,0.4017890052742714,0.1045209016854418,0.3641640979720439,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",UNRATE,L4.UNRATE,-0.03919553725311031,0.07957074741708874,0.6226113500063888,0.2996339599633315,0.8959992333071223,0.04987842385115469,0.43250071801135903,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",UNRATE,L4.INDPRO_GROWTH,-0.030115325807133594,0.028861782488162388,0.2974640291433029,0.07854324707512007,0.7016372559710569,0.025257053602612194,0.23392600570202632,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",UNRATE,L4.M2_GROWTH,-0.15303019395281292,0.07285462544493247,0.036397009088228356,0.15012329493449844,0.30873056142974,0.09564639760447713,0.11050507155379737,True,False,False,True,True
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",UNRATE,FEDFUNDS,-0.006685772691570224,0.016727277183518043,0.689625193689544,0.021288119060186936,0.7536605863727464,0.0176549126559901,0.7051449597912524,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",UNRATE,SENTIMENT_CHANGE,-0.030366973197694696,0.006638124567977667,6.6198683909675715e-06,0.02417456471422314,0.20989324996725714,0.019876527801459737,0.12746508580451343,True,False,False,True,True
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,const,-1.247728549582343,0.2938339082253812,2.783575773116218e-05,0.5056673423383848,0.014081566867590094,0.42277539283812837,0.0033767117556953536,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L1.INF,0.8515008005515221,0.209024565288844,5.721426034744573e-05,0.38213497037653815,0.02649356956289252,0.34095648695900793,0.012967226173064521,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L1.UNRATE,0.4202285524427039,0.14364420585845508,0.003662338809028426,1.660849047980133,0.8004002125738305,0.4524644464034096,0.3536525788854317,True,False,False,True,True
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L1.INDPRO_GROWTH,0.14080337227494816,0.07694215944304844,0.06809699081159151,0.204460718390582,0.4914925608536516,0.148247233825914,0.34287187424803744,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L1.M2_GROWTH,-0.6134381687681165,0.14188864005062515,2.0029576508258888e-05,0.6842094769887739,0.37056390593425714,0.482688636057786,0.20461143891574474,True,False,False,True,True
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L2.INF,-0.35423720703411565,0.23790275190070231,0.13738273266114528,0.3942069277487413,0.3694761527265944,0.31154682845668796,0.25630035134366924,False,False,False,False,False
