response,shock,horizon,value
UNRATE,SENTIMENT_CHANGE,23,0.0038546763340409564
UNRATE,SENTIMENT_CHANGE,24,0.0034157268389276027
INDPRO_GROWTH,INF,0,0.10254802575139295
INDPRO_GROWTH,INF,1,0.23775387680933052
INDPRO_GROWTH,INF,2,0.019765537301734172
INDPRO_GROWTH,INF,3,-0.04325275025387645
INDPRO_GROWTH,INF,4,0.040710153185942656
INDPRO_GROWTH,INF,5,-0.02495844503450481
INDPRO_GROWTH,INF,6,-0.025789328057461088
INDPRO_GROWTH,INF,7,-0.009069566501812216
INDPRO_GROWTH,INF,8,-0.006000783371387801
INDPRO_GROWTH,INF,9,-0.02195639017419558
INDPRO_GROWTH,INF,10,-0.013999590459703828
INDPRO_GROWTH,INF,11,-0.012675359825420545
INDPRO_GROWTH,INF,12,-0.02263955604844783
INDPRO_GROWTH,INF,13,-0.023585024363324814
INDPRO_GROWTH,INF,14,-0.016655001745385086
INDPRO_GROWTH,INF,15,-0.01198715571526036
INDPRO_GROWTH,INF,16,-0.0113089846566917
INDPRO_GROWTH,INF,17,-0.01121496751347787
INDPRO_GROWTH,INF,18,-0.011777511093492727
INDPRO_GROWTH,INF,19,-0.011890243412911552
INDPRO_GROWTH,INF,20,-0.011212946052701334
INDPRO_GROWTH,INF,21,-0.01046261231471194
INDPRO_GROWTH,INF,22,-0.009551149188427872
INDPRO_GROWTH,INF,23,-0.008462905335351396
INDPRO_GROWTH,INF,24,-0.007786643109578948
INDPRO_GROWTH,FEDFUNDS,0,0.11717009673436182
INDPRO_GROWTH,FEDFUNDS,1,0.3251722758269624
INDPRO_GROWTH,FEDFUNDS,2,-0.025192746522967456
INDPRO_GROWTH,FEDFUNDS,3,-0.07048163240090953
INDPRO_GROWTH,FEDFUNDS,4,0.013847646537499553
INDPRO_GROWTH,FEDFUNDS,5,0.052225456946114454
INDPRO_GROWTH,FEDFUNDS,6,0.05895927333470275
INDPRO_GROWTH,FEDFUNDS,7,0.0033468278127205425
INDPRO_GROWTH,FEDFUNDS,8,0.02322157593692482
INDPRO_GROWTH,FEDFUNDS,9,0.03411991092327155
INDPRO_GROWTH,FEDFUNDS,10,0.01594649834479627
INDPRO_GROWTH,FEDFUNDS,11,0.010737137052656293
INDPRO_GROWTH,FEDFUNDS,12,0.012123694845323458
INDPRO_GROWTH,FEDFUNDS,13,0.009621667923620479
INDPRO_GROWTH,FEDFUNDS,14,0.008724536811652663
INDPRO_GROWTH,FEDFUNDS,15,0.007426220571997047
INDPRO_GROWTH,FEDFUNDS,16,0.006251331056503385
INDPRO_GROWTH,FEDFUNDS,17,0.006428755922572655
INDPRO_GROWTH,FEDFUNDS,18,0.004992835634478917
INDPRO_GROWTH,FEDFUNDS,19,0.0029108579241214
INDPRO_GROWTH,FEDFUNDS,20,0.0018245592467857853
INDPRO_GROWTH,FEDFUNDS,21,0.0014420492843681217
INDPRO_GROWTH,FEDFUNDS,22,0.001131829375308196
INDPRO_GROWTH,FEDFUNDS,23,0.000737745749485059
INDPRO_GROWTH,FEDFUNDS,24,0.00037196332257387614
INDPRO_GROWTH,UNRATE,0,-0.7127169401065117
INDPRO_GROWTH,UNRATE,1,0.00013122298996005394
INDPRO_GROWTH,UNRATE,2,0.34910560055298895
INDPRO_GROWTH,UNRATE,3,0.23283744578540225
INDPRO_GROWTH,UNRATE,4,0.09281501515742062
INDPRO_GROWTH,UNRATE,5,-0.0022404622979326438
INDPRO_GROWTH,UNRATE,6,0.07161801979060439
INDPRO_GROWTH,UNRATE,7,0.05579788219852803
INDPRO_GROWTH,UNRATE,8,0.03160700138139362
INDPRO_GROWTH,UNRATE,9,0.04163940062529514
INDPRO_GROWTH,UNRATE,10,0.0419861889013896
INDPRO_GROWTH,UNRATE,11,0.04485127430580883
INDPRO_GROWTH,UNRATE,12,0.043323081706938
INDPRO_GROWTH,UNRATE,13,0.03186191668564846
INDPRO_GROWTH,UNRATE,14,0.03017155855492593
INDPRO_GROWTH,UNRATE,15,0.03275996397099829
INDPRO_GROWTH,UNRATE,16,0.02792062524291678
INDPRO_GROWTH,UNRATE,17,0.023837851805812466
INDPRO_GROWTH,UNRATE,18,0.023286889743403403
INDPRO_GROWTH,UNRATE,19,0.022748012443528098
INDPRO_GROWTH,UNRATE,20,0.021461801488620594
INDPRO_GROWTH,UNRATE,21,0.019870140016704153
INDPRO_GROWTH,UNRATE,22,0.018262357405878865
INDPRO_GROWTH,UNRATE,23,0.016954306631032152
INDPRO_GROWTH,UNRATE,24,0.015920501700194763
INDPRO_GROWTH,INDPRO_GROWTH,0,0.6382395410032858
INDPRO_GROWTH,INDPRO_GROWTH,1,0.11613439267627414
INDPRO_GROWTH,INDPRO_GROWTH,2,0.04959322197053324
INDPRO_GROWTH,INDPRO_GROWTH,3,0.07660020022452452
INDPRO_GROWTH,INDPRO_GROWTH,4,0.08792199134139263
INDPRO_GROWTH,INDPRO_GROWTH,5,0.010569296823484547
INDPRO_GROWTH,INDPRO_GROWTH,6,0.0023469286432387013
INDPRO_GROWTH,INDPRO_GROWTH,7,-0.000334616759160173
INDPRO_GROWTH,INDPRO_GROWTH,8,0.018474541077400725
INDPRO_GROWTH,INDPRO_GROWTH,9,0.012980698263852052
INDPRO_GROWTH,INDPRO_GROWTH,10,-0.011709917851990652
INDPRO_GROWTH,INDPRO_GROWTH,11,-0.008664844835792147
INDPRO_GROWTH,INDPRO_GROWTH,12,-0.005314436504555231
INDPRO_GROWTH,INDPRO_GROWTH,13,-0.007286578149610608
INDPRO_GROWTH,INDPRO_GROWTH,14,-0.010521950067296702
INDPRO_GROWTH,INDPRO_GROWTH,15,-0.011743422841202862
INDPRO_GROWTH,INDPRO_GROWTH,16,-0.010002759783006517
INDPRO_GROWTH,INDPRO_GROWTH,17,-0.008473893746632582
INDPRO_GROWTH,INDPRO_GROWTH,18,-0.009194596831144443
INDPRO_GROWTH,INDPRO_GROWTH,19,-0.009962246318640917
INDPRO_GROWTH,INDPRO_GROWTH,20,-0.009596668805647884
INDPRO_GROWTH,INDPRO_GROWTH,21,-0.009062780023334605
INDPRO_GROWTH,INDPRO_GROWTH,22,-0.008811481219759677
INDPRO_GROWTH,INDPRO_GROWTH,23,-0.008641710665036186
INDPRO_GROWTH,INDPRO_GROWTH,24,-0.008242929803362834
INDPRO_GROWTH,SENTIMENT_CHANGE,0,0.0
INDPRO_GROWTH,SENTIMENT_CHANGE,1,0.12152611040435049
INDPRO_GROWTH,SENTIMENT_CHANGE,2,-0.04406528909962378
INDPRO_GROWTH,SENTIMENT_CHANGE,3,-0.003296639097782041
INDPRO_GROWTH,SENTIMENT_CHANGE,4,-0.008437210965916053
INDPRO_GROWTH,SENTIMENT_CHANGE,5,-0.027777825326978586
INDPRO_GROWTH,SENTIMENT_CHANGE,6,0.04096432856582569
INDPRO_GROWTH,SENTIMENT_CHANGE,7,0.06481872339741024
INDPRO_GROWTH,SENTIMENT_CHANGE,8,0.018328234636019576
INDPRO_GROWTH,SENTIMENT_CHANGE,9,-0.005480011155455836
INDPRO_GROWTH,SENTIMENT_CHANGE,10,-0.005629245853459652
INDPRO_GROWTH,SENTIMENT_CHANGE,11,-0.007109807981154824
INDPRO_GROWTH,SENTIMENT_CHANGE,12,-0.00024216999902112348
INDPRO_GROWTH,SENTIMENT_CHANGE,13,0.008237464030977412
INDPRO_GROWTH,SENTIMENT_CHANGE,14,0.009131206061251413
INDPRO_GROWTH,SENTIMENT_CHANGE,15,0.006881014198831424
INDPRO_GROWTH,SENTIMENT_CHANGE,16,0.004884829748304423
INDPRO_GROWTH,SENTIMENT_CHANGE,17,0.0015707703196310885
INDPRO_GROWTH,SENTIMENT_CHANGE,18,-0.0007234698262778632
INDPRO_GROWTH,SENTIMENT_CHANGE,19,0.00019775453393216624
INDPRO_GROWTH,SENTIMENT_CHANGE,20,0.0017105743448719074
INDPRO_GROWTH,SENTIMENT_CHANGE,21,0.002163102727486265
INDPRO_GROWTH,SENTIMENT_CHANGE,22,0.002281266459507044
INDPRO_GROWTH,SENTIMENT_CHANGE,23,0.0020706248885494615
INDPRO_GROWTH,SENTIMENT_CHANGE,24,0.0014089839745831543
SENTIMENT_CHANGE,INF,0,-0.3848606205642775
SENTIMENT_CHANGE,INF,1,-0.5580971754234094
SENTIMENT_CHANGE,INF,2,0.20047780063767848
