response,horizon,shock,variance_share
UNRATE,13,INDPRO_GROWTH,0.1554276796237857
UNRATE,13,SENTIMENT_CHANGE,0.004865202225931441
UNRATE,14,INF,0.1228106636020793
UNRATE,14,FEDFUNDS,0.1836855219249662
UNRATE,14,UNRATE,0.5281515161147127
UNRATE,14,INDPRO_GROWTH,0.16060534665518972
UNRATE,14,SENTIMENT_CHANGE,0.004746951703052174
UNRATE,15,INF,0.12363560464122984
UNRATE,15,FEDFUNDS,0.1881582320521983
UNRATE,15,UNRATE,0.5184893256724481
UNRATE,15,INDPRO_GROWTH,0.165108127755925
UNRATE,15,SENTIMENT_CHANGE,0.004608709878198985
UNRATE,16,INF,0.12434821023385004
UNRATE,16,FEDFUNDS,0.19226646986087714
UNRATE,16,UNRATE,0.5098561112255744
UNRATE,16,INDPRO_GROWTH,0.16906415021258156
UNRATE,16,SENTIMENT_CHANGE,0.004465058467117036
UNRATE,17,INF,0.1250006850468153
UNRATE,17,FEDFUNDS,0.1959900693723883
UNRATE,17,UNRATE,0.5021357565251006
UNRATE,17,INDPRO_GROWTH,0.17254235524053335
UNRATE,17,SENTIMENT_CHANGE,0.004331133815162551
UNRATE,18,INF,0.12557750061559367
UNRATE,18,FEDFUNDS,0.1993789386742678
UNRATE,18,UNRATE,0.4951985473183333
UNRATE,18,INDPRO_GROWTH,0.17563181780262344
UNRATE,18,SENTIMENT_CHANGE,0.004213195589181729
UNRATE,19,INF,0.12605856899549972
UNRATE,19,FEDFUNDS,0.20246115284312502
UNRATE,19,UNRATE,0.48898230373439344
UNRATE,19,INDPRO_GROWTH,0.17838457974690977
UNRATE,19,SENTIMENT_CHANGE,0.004113394680072117
UNRATE,20,INF,0.12643781737874862
UNRATE,20,FEDFUNDS,0.20522253114441572
UNRATE,20,UNRATE,0.483464101070971
UNRATE,20,INDPRO_GROWTH,0.1808458600567714
UNRATE,20,SENTIMENT_CHANGE,0.004029690349093379
UNRATE,21,INF,0.1267238883071385
UNRATE,21,FEDFUNDS,0.20768285783477913
UNRATE,21,UNRATE,0.47857196540650776
UNRATE,21,INDPRO_GROWTH,0.1830638350915323
UNRATE,21,SENTIMENT_CHANGE,0.003957453360042353
UNRATE,22,INF,0.12693925351847138
UNRATE,22,FEDFUNDS,0.20987257560724862
UNRATE,22,UNRATE,0.4742315856405017
UNRATE,22,INDPRO_GROWTH,0.1850638597009675
UNRATE,22,SENTIMENT_CHANGE,0.0038927255328107726
UNRATE,23,INF,0.1271119731641036
UNRATE,23,FEDFUNDS,0.21181490663097177
UNRATE,23,UNRATE,0.47038002813536517
UNRATE,23,INDPRO_GROWTH,0.1868597991945018
UNRATE,23,SENTIMENT_CHANGE,0.003833292875057604
UNRATE,24,INF,0.12726459763459888
UNRATE,24,FEDFUNDS,0.2135341838589034
UNRATE,24,UNRATE,0.46695252153314454
UNRATE,24,INDPRO_GROWTH,0.18846986474757407
UNRATE,24,SENTIMENT_CHANGE,0.0037788322257790463
INDPRO_GROWTH,1,INF,0.011192576011441588
INDPRO_GROWTH,1,FEDFUNDS,0.014611978410427617
INDPRO_GROWTH,1,UNRATE,0.5406417842156759
INDPRO_GROWTH,1,INDPRO_GROWTH,0.43355366136245493
INDPRO_GROWTH,1,SENTIMENT_CHANGE,0.0
INDPRO_GROWTH,2,INF,0.059325901925735135
INDPRO_GROWTH,2,FEDFUNDS,0.10571451705019866
INDPRO_GROWTH,2,UNRATE,0.44949520633064644
INDPRO_GROWTH,2,INDPRO_GROWTH,0.3723957440718477
INDPRO_GROWTH,2,SENTIMENT_CHANGE,0.013068630621571922
INDPRO_GROWTH,3,INF,0.05363026324916943
INDPRO_GROWTH,3,FEDFUNDS,0.09551639829849673
INDPRO_GROWTH,3,UNRATE,0.5009142961945084
INDPRO_GROWTH,3,INDPRO_GROWTH,0.3366492408864884
INDPRO_GROWTH,3,SENTIMENT_CHANGE,0.013289801371336956
INDPRO_GROWTH,4,INF,0.05233246899574738
INDPRO_GROWTH,4,FEDFUNDS,0.0944401628954898
INDPRO_GROWTH,4,UNRATE,0.5165352338447544
INDPRO_GROWTH,4,INDPRO_GROWTH,0.32406578805703673
INDPRO_GROWTH,4,SENTIMENT_CHANGE,0.012626346206971622
INDPRO_GROWTH,5,INF,0.05285493863394657
INDPRO_GROWTH,5,FEDFUNDS,0.0932981737545132
INDPRO_GROWTH,5,UNRATE,0.5159244874585929
INDPRO_GROWTH,5,INDPRO_GROWTH,0.32541480752091245
INDPRO_GROWTH,5,SENTIMENT_CHANGE,0.012507592632034785
INDPRO_GROWTH,6,INF,0.05315110739568854
INDPRO_GROWTH,6,FEDFUNDS,0.09502968804803084
INDPRO_GROWTH,6,UNRATE,0.5143044729508325
INDPRO_GROWTH,6,INDPRO_GROWTH,0.32447359072922943
INDPRO_GROWTH,6,SENTIMENT_CHANGE,0.013041140876218613
INDPRO_GROWTH,7,INF,0.05321214255241122
INDPRO_GROWTH,7,FEDFUNDS,0.09682324740110143
INDPRO_GROWTH,7,UNRATE,0.5139328665155198
INDPRO_GROWTH,7,INDPRO_GROWTH,0.3218599072640218
INDPRO_GROWTH,7,SENTIMENT_CHANGE,0.014171836266945676
INDPRO_GROWTH,8,INF,0.05298362872829745
INDPRO_GROWTH,8,FEDFUNDS,0.09630601945945237
INDPRO_GROWTH,8,UNRATE,0.5134244802595285
INDPRO_GROWTH,8,INDPRO_GROWTH,0.3201133447908882
INDPRO_GROWTH,8,SENTIMENT_CHANGE,0.017172526761833427
INDPRO_GROWTH,9,INF,0.05292272428125481
INDPRO_GROWTH,9,FEDFUNDS,0.09654179759372415
INDPRO_GROWTH,9,UNRATE,0.5133096913611606
INDPRO_GROWTH,9,INDPRO_GROWTH,0.31983587362343757
INDPRO_GROWTH,9,SENTIMENT_CHANGE,0.017389913140422746
INDPRO_GROWTH,10,INF,0.05313621157568951
INDPRO_GROWTH,10,FEDFUNDS,0.09713893636188736
INDPRO_GROWTH,10,UNRATE,0.5132344906888237
INDPRO_GROWTH,10,INDPRO_GROWTH,0.31912393560586383
INDPRO_GROWTH,10,SENTIMENT_CHANGE,0.017366425767735613
INDPRO_GROWTH,11,INF,0.0531867593527999
INDPRO_GROWTH,11,FEDFUNDS,0.09715561965566659
INDPRO_GROWTH,11,UNRATE,0.5136279343182719
INDPRO_GROWTH,11,INDPRO_GROWTH,0.3186703071221094
INDPRO_GROWTH,11,SENTIMENT_CHANGE,0.01735937955115212
INDPRO_GROWTH,12,INF,0.053210246421227084
INDPRO_GROWTH,12,FEDFUNDS,0.09706900009972431
INDPRO_GROWTH,12,UNRATE,0.514189163942776
INDPRO_GROWTH,12,INDPRO_GROWTH,0.31816591734908
INDPRO_GROWTH,12,SENTIMENT_CHANGE,0.017365672187192573
INDPRO_GROWTH,13,INF,0.05348309079536134
INDPRO_GROWTH,13,FEDFUNDS,0.09699502035195247
INDPRO_GROWTH,13,UNRATE,0.5145940890889502
INDPRO_GROWTH,13,INDPRO_GROWTH,0.31759439728550837
INDPRO_GROWTH,13,SENTIMENT_CHANGE,0.017333402478227605
INDPRO_GROWTH,14,INF,0.05381695829806468
INDPRO_GROWTH,14,FEDFUNDS,0.09693665296887725
INDPRO_GROWTH,14,UNRATE,0.5146641183201363
INDPRO_GROWTH,14,INDPRO_GROWTH,0.3172221199108663
INDPRO_GROWTH,14,SENTIMENT_CHANGE,0.01736015050205549
INDPRO_GROWTH,15,INF,0.05396094117982035
INDPRO_GROWTH,15,FEDFUNDS,0.09688945563382542
INDPRO_GROWTH,15,UNRATE,0.5147799135216187
INDPRO_GROWTH,15,INDPRO_GROWTH,0.31696750907313276
INDPRO_GROWTH,15,SENTIMENT_CHANGE,0.017402180591602718
INDPRO_GROWTH,16,INF,0.054007977167590024
INDPRO_GROWTH,16,FEDFUNDS,0.09682723928162518
INDPRO_GROWTH,16,UNRATE,0.5150134669043849
INDPRO_GROWTH,16,INDPRO_GROWTH,0.3167332381031876
INDPRO_GROWTH,16,SENTIMENT_CHANGE,0.017418078543212246
INDPRO_GROWTH,17,INF,0.05405860814541685
INDPRO_GROWTH,17,FEDFUNDS,0.09678058959906351
INDPRO_GROWTH,17,UNRATE,0.5151783817586472
INDPRO_GROWTH,17,INDPRO_GROWTH,0.3165605732743782
INDPRO_GROWTH,17,SENTIMENT_CHANGE,0.01742184722249419
INDPRO_GROWTH,18,INF,0.05411782226364999
INDPRO_GROWTH,18,FEDFUNDS,0.09675385446404663
INDPRO_GROWTH,18,UNRATE,0.5152875147747222
INDPRO_GROWTH,18,INDPRO_GROWTH,0.3164273643256404
INDPRO_GROWTH,18,SENTIMENT_CHANGE,0.017413444171940656
INDPRO_GROWTH,19,INF,0.05418702979959393
INDPRO_GROWTH,19,FEDFUNDS,0.09671661650088506
INDPRO_GROWTH,19,UNRATE,0.5153847166203851
INDPRO_GROWTH,19,INDPRO_GROWTH,0.3163077548111698
INDPRO_GROWTH,19,SENTIMENT_CHANGE,0.0174038822679661
INDPRO_GROWTH,20,INF,0.05425903647327817
INDPRO_GROWTH,20,FEDFUNDS,0.0966692523275797
INDPRO_GROWTH,20,UNRATE,0.5154729771852432
INDPRO_GROWTH,20,INDPRO_GROWTH,0.31620444626775024
INDPRO_GROWTH,20,SENTIMENT_CHANGE,0.017394287746148696
INDPRO_GROWTH,21,INF,0.05432289183173053
INDPRO_GROWTH,21,FEDFUNDS,0.09662393808406597
INDPRO_GROWTH,21,UNRATE,0.5155505942408419
INDPRO_GROWTH,21,INDPRO_GROWTH,0.3161147642343725
INDPRO_GROWTH,21,SENTIMENT_CHANGE,0.017387811608989057
INDPRO_GROWTH,22,INF,0.05437855104903665
INDPRO_GROWTH,22,FEDFUNDS,0.09658413648385505
INDPRO_GROWTH,22,UNRATE,0.5156147307146132
INDPRO_GROWTH,22,INDPRO_GROWTH,0.3160388306546662
INDPRO_GROWTH,22,SENTIMENT_CHANGE,0.017383751097828932
INDPRO_GROWTH,23,INF,0.054424328930923194
INDPRO_GROWTH,23,FEDFUNDS,0.09654965721385474
INDPRO_GROWTH,23,UNRATE,0.515665970010151
INDPRO_GROWTH,23,INDPRO_GROWTH,0.31597891598139966
INDPRO_GROWTH,23,SENTIMENT_CHANGE,0.017381127863671283
INDPRO_GROWTH,24,INF,0.05445871380419275
INDPRO_GROWTH,24,FEDFUNDS,0.09651955742910334
INDPRO_GROWTH,24,UNRATE,0.5157101021255427
INDPRO_GROWTH,24,INDPRO_GROWTH,0.3159329006332124
INDPRO_GROWTH,24,SENTIMENT_CHANGE,0.017378726007948698
SENTIMENT_CHANGE,1,INF,0.009839197276581479
SENTIMENT_CHANGE,1,FEDFUNDS,0.054634542976170195
SENTIMENT_CHANGE,1,UNRATE,0.06954073651047862
SENTIMENT_CHANGE,1,INDPRO_GROWTH,0.0009159745495689482
SENTIMENT_CHANGE,1,SENTIMENT_CHANGE,0.8650695486872007
SENTIMENT_CHANGE,2,INF,0.028848602522701435
SENTIMENT_CHANGE,2,FEDFUNDS,0.052898868265031054
SENTIMENT_CHANGE,2,UNRATE,0.06571413567908135
SENTIMENT_CHANGE,2,INDPRO_GROWTH,0.018061506453504655
SENTIMENT_CHANGE,2,SENTIMENT_CHANGE,0.8344768870796815
SENTIMENT_CHANGE,3,INF,0.029693661859464975
SENTIMENT_CHANGE,3,FEDFUNDS,0.050124414459209544
SENTIMENT_CHANGE,3,UNRATE,0.07132192636704496
SENTIMENT_CHANGE,3,INDPRO_GROWTH,0.017292604033705968
SENTIMENT_CHANGE,3,SENTIMENT_CHANGE,0.8315673932805746
SENTIMENT_CHANGE,4,INF,0.0295189492241158
SENTIMENT_CHANGE,4,FEDFUNDS,0.04979177157399428
SENTIMENT_CHANGE,4,UNRATE,0.07123804763801153
SENTIMENT_CHANGE,4,INDPRO_GROWTH,0.017675179923846245
SENTIMENT_CHANGE,4,SENTIMENT_CHANGE,0.8317760516400322
SENTIMENT_CHANGE,5,INF,0.02933804172783378
SENTIMENT_CHANGE,5,FEDFUNDS,0.053373386244724
SENTIMENT_CHANGE,5,UNRATE,0.07091819900469395
SENTIMENT_CHANGE,5,INDPRO_GROWTH,0.017755203321574476
SENTIMENT_CHANGE,5,SENTIMENT_CHANGE,0.8286151697011739
SENTIMENT_CHANGE,6,INF,0.046226204172221515
